# Isoelastics for elastic spheres deformed
# in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# These data were generated by linear interpolation of a look-up 
# table of numerically simulated values. 
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
# The interpolation was performed by C. Herold
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM
#
# apparent_area_um^2 deformation elastic_modulus_kPa
2.34651e+02 4.23896e-02 4.20
2.33683e+02 4.20000e-02 4.20
2.32674e+02 4.16025e-02 4.20
2.31117e+02 4.10000e-02 4.20
2.30698e+02 4.08383e-02 4.20
2.28721e+02 4.00863e-02 4.20
2.28502e+02 4.00000e-02 4.20
2.26744e+02 3.93268e-02 4.20
2.25914e+02 3.90000e-02 4.20
2.24767e+02 3.85579e-02 4.20
2.23309e+02 3.80000e-02 4.20
2.22791e+02 3.78060e-02 4.20
2.20814e+02 3.70525e-02 4.20
2.20685e+02 3.70000e-02 4.20
2.18837e+02 3.62752e-02 4.20
2.18144e+02 3.60000e-02 4.20
2.16860e+02 3.54942e-02 4.20
2.15521e+02 3.50000e-02 4.20
2.14884e+02 3.47722e-02 4.20
2.12907e+02 3.40584e-02 4.20
2.12740e+02 3.40000e-02 4.20
2.10930e+02 3.33858e-02 4.20
2.09844e+02 3.30000e-02 4.20
2.08953e+02 3.26977e-02 4.20
2.06979e+02 3.20000e-02 4.20
2.06977e+02 3.19993e-02 4.20
2.05000e+02 3.13294e-02 4.20
2.04048e+02 3.10000e-02 4.20
2.03023e+02 3.06544e-02 4.20
2.01076e+02 3.00000e-02 4.20
2.01047e+02 2.99906e-02 4.20
1.99070e+02 2.93422e-02 4.20
1.98046e+02 2.90000e-02 4.20
1.97093e+02 2.86975e-02 4.20
1.95116e+02 2.80533e-02 4.20
1.94952e+02 2.80000e-02 4.20
1.93140e+02 2.74401e-02 4.20
1.91771e+02 2.70000e-02 4.20
1.91163e+02 2.68123e-02 4.20
1.89186e+02 2.61943e-02 4.20
1.88564e+02 2.60000e-02 4.20
1.87209e+02 2.55976e-02 4.20
1.85233e+02 2.50537e-02 4.20
1.85049e+02 2.50000e-02 4.20
1.83256e+02 2.45051e-02 4.20
1.81678e+02 2.40000e-02 4.20
1.81279e+02 2.38789e-02 4.20
1.79302e+02 2.33561e-02 4.20
1.77975e+02 2.30000e-02 4.20
1.77326e+02 2.28373e-02 4.20
1.75349e+02 2.22807e-02 4.20
1.74304e+02 2.20000e-02 4.20
1.73372e+02 2.17618e-02 4.20
1.71395e+02 2.12433e-02 4.20
1.70515e+02 2.10000e-02 4.20
1.69419e+02 2.07127e-02 4.20
1.67442e+02 2.02362e-02 4.20
1.66488e+02 2.00000e-02 4.20
1.65465e+02 1.97653e-02 4.20
1.63488e+02 1.92915e-02 4.20
1.62326e+02 1.90000e-02 4.20
1.61512e+02 1.88089e-02 4.20
1.59535e+02 1.83502e-02 4.20
1.58017e+02 1.80000e-02 4.20
1.57558e+02 1.79047e-02 4.20
1.55581e+02 1.75090e-02 4.20
1.53605e+02 1.70517e-02 4.20
1.53372e+02 1.70000e-02 4.20
1.51628e+02 1.66797e-02 4.20
1.49651e+02 1.62419e-02 4.20
1.48510e+02 1.60000e-02 4.20
1.47674e+02 1.58367e-02 4.20
1.45698e+02 1.54615e-02 4.20
1.43721e+02 1.50424e-02 4.20
1.43511e+02 1.50000e-02 4.20
1.41744e+02 1.46719e-02 4.20
1.39767e+02 1.43026e-02 4.20
1.38152e+02 1.40000e-02 4.20
1.37791e+02 1.39385e-02 4.20
1.35814e+02 1.36233e-02 4.20
1.33837e+02 1.32844e-02 4.20
1.32272e+02 1.30000e-02 4.20
1.31860e+02 1.29333e-02 4.20
1.29884e+02 1.26048e-02 4.20
1.27907e+02 1.22841e-02 4.20
1.26221e+02 1.20000e-02 4.20
1.25930e+02 1.19563e-02 4.20
1.23953e+02 1.16630e-02 4.20
1.21977e+02 1.13640e-02 4.20
1.20000e+02 1.10543e-02 4.20
1.19650e+02 1.10000e-02 4.20
1.18023e+02 1.07792e-02 4.20
1.16047e+02 1.05035e-02 4.20
1.14070e+02 1.02206e-02 4.20
1.12521e+02 1.00000e-02 4.20
1.12093e+02 9.94714e-03 4.20
1.10116e+02 9.69739e-03 4.20
1.08140e+02 9.43905e-03 4.20
1.06163e+02 9.17153e-03 4.20
1.04775e+02 9.00000e-03 4.20
1.04186e+02 8.93817e-03 4.20
1.02209e+02 8.67468e-03 4.20
1.00233e+02 8.44054e-03 4.20
9.82558e+01 8.20564e-03 4.20
9.64005e+01 8.00000e-03 4.20
9.62791e+01 7.98891e-03 4.20
9.43023e+01 7.76385e-03 4.20
9.23256e+01 7.59778e-03 4.20
9.03488e+01 7.36453e-03 4.20
8.83721e+01 7.09720e-03 4.20
8.75619e+01 7.00000e-03 4.20
8.63953e+01 6.88614e-03 4.20
8.44186e+01 6.70794e-03 4.20
8.24419e+01 6.52523e-03 4.20
8.04651e+01 6.32761e-03 4.20
7.84884e+01 6.10228e-03 4.20
7.75294e+01 6.00000e-03 4.20
