# Elastic modulus look-up table for elastic spheres
# deformed in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM, linear elastic model
#
# apparent_area_um^2 deformation elastic_modulus_kPa
5.05106e+01 1.24200e-02 2.29123e+00
4.51623e+01 1.41250e-02 2.02392e+00
5.18926e+01 1.20020e-02 2.36761e+00
4.01029e+01 1.57650e-02 1.79480e+00
5.32936e+01 1.15940e-02 2.44398e+00
3.41925e+01 1.76870e-02 1.56568e+00
4.78058e+01 1.33940e-02 2.13848e+00
5.47117e+01 1.12060e-02 2.52036e+00
3.53388e+01 1.74410e-02 1.60386e+00
4.38790e+01 1.47630e-02 1.94755e+00
4.64819e+01 1.39670e-02 2.06211e+00
3.65140e+01 1.71770e-02 1.64205e+00
4.13494e+01 1.56570e-02 1.83299e+00
4.91591e+01 1.32760e-02 2.17667e+00
5.19078e+01 1.24070e-02 2.32942e+00
5.05264e+01 1.28550e-02 2.25305e+00
5.33084e+01 1.19740e-02 2.40579e+00
3.76982e+01 1.69570e-02 1.68024e+00
5.47283e+01 1.15740e-02 2.48217e+00
3.88993e+01 1.66860e-02 1.71842e+00
4.51799e+01 1.46880e-02 1.98574e+00
4.26135e+01 1.55260e-02 1.87117e+00
4.78229e+01 1.39000e-02 2.10030e+00
4.01220e+01 1.64800e-02 1.75661e+00
4.64997e+01 1.45150e-02 2.02392e+00
5.33239e+01 1.23730e-02 2.36761e+00
4.38975e+01 1.53780e-02 1.90936e+00
5.19239e+01 1.28340e-02 2.29123e+00
5.47434e+01 1.19490e-02 2.44398e+00
5.61790e+01 1.15160e-02 2.52036e+00
5.05431e+01 1.33140e-02 2.21486e+00
4.91763e+01 1.37700e-02 2.13848e+00
3.42128e+01 1.86140e-02 1.52749e+00
4.13688e+01 1.63520e-02 1.79480e+00
3.53592e+01 1.83320e-02 1.56568e+00
4.78411e+01 1.44350e-02 2.06211e+00
3.65347e+01 1.80360e-02 1.60386e+00
4.51986e+01 1.52870e-02 1.94755e+00
4.26330e+01 1.62000e-02 1.83299e+00
5.33402e+01 1.27920e-02 2.32942e+00
5.47592e+01 1.23410e-02 2.40579e+00
5.61969e+01 1.18950e-02 2.48217e+00
3.77189e+01 1.77840e-02 1.64205e+00
5.19408e+01 1.32840e-02 2.25305e+00
3.89218e+01 1.74990e-02 1.68024e+00
5.05607e+01 1.37980e-02 2.17667e+00
4.65186e+01 1.50960e-02 1.98574e+00
